6.0000E+01  8.0000E-04	7.4111E-01  1.4700E+00	8.2432E-01  1.6565E+00
6.0000E+01  8.6000E-04	6.8940E-01  1.5457E+00	1.7991E+00  2.1785E+00
6.0000E+01  9.4000E-04	6.3073E-01  1.5253E+00	1.6557E+00  2.2795E+00
6.0000E+01  1.1000E-03	5.3899E-01  1.4591E+00	1.2852E+00  1.3908E+00
6.0000E+01  1.3000E-03	4.5607E-01  1.3909E+00	6.5849E-01  7.2770E-01
6.0000E+01  1.5000E-03	3.9526E-01  1.3166E+00	9.9283E-01  1.3582E+00
6.0000E+01  2.0000E-03	2.9644E-01  1.2342E+00	4.6378E-01  4.6966E-01
6.0000E+01  3.2000E-03	1.8528E-01  1.0771E+00	4.9334E-01  5.1618E-01
6.0000E+01  5.0000E-03	1.1858E-01  9.3215E-01	5.5405E-01  5.1719E-01
6.0000E+01  8.0000E-03	7.4111E-02  8.1850E-01	7.2926E-01  5.6378E-01
6.0000E+01  1.3000E-02	4.5607E-02  7.0548E-01	7.8471E-01  6.2009E-01
6.0000E+01  2.0000E-02	2.9644E-02  6.3101E-01	8.1793E-01  6.6653E-01
6.0000E+01  3.2000E-02	1.8528E-02  5.5175E-01	8.9585E-01  7.0211E-01
6.0000E+01  5.0000E-02	1.1858E-02  5.0917E-01	9.4974E-01  1.4633E+00
6.0000E+01  1.3000E-01	4.5607E-03  3.9468E-01	2.9515E+00  3.8771E+00
